Animal ID,Name,DateTime,MonthYear,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A828057,,01/06/2021 09:53:00 AM,01/06/2021 09:53:00 AM,109 Denson in Austin (TX),Stray,Nursing,Other,Unknown,1 day,Hamster,Tan
A828052,,01/06/2021 09:53:00 AM,01/06/2021 09:53:00 AM,109 Denson in Austin (TX),Stray,Nursing,Other,Unknown,1 day,Hamster,Tan
A828053,,01/06/2021 09:53:00 AM,01/06/2021 09:53:00 AM,109 Denson in Austin (TX),Stray,Nursing,Other,Unknown,1 day,Hamster,Tan
A828056,,01/06/2021 09:53:00 AM,01/06/2021 09:53:00 AM,109 Denson in Austin (TX),Stray,Nursing,Other,Unknown,1 day,Hamster,Tan
A828054,,01/06/2021 09:53:00 AM,01/06/2021 09:53:00 AM,109 Denson in Austin (TX),Stray,Nursing,Other,Unknown,1 day,Hamster,Tan
A828055,,01/06/2021 09:53:00 AM,01/06/2021 09:53:00 AM,109 Denson in Austin (TX),Stray,Nursing,Other,Unknown,1 day,Hamster,Tan
A828051,,01/06/2021 09:53:00 AM,01/06/2021 09:53:00 AM,109 Denson in Austin (TX),Stray,Nursing,Other,Unknown,1 day,Hamster,Tan
A826013,*Sweet Potato,01/06/2021 11:28:00 AM,01/06/2021 11:28:00 AM,Travis (TX),Owner Surrender,Normal,Other,Intact Male,2 years,Rabbit Sh,Brown
A828059,*Bernadette,01/06/2021 12:28:00 PM,01/06/2021 12:28:00 PM,Brook Valley Drive And Crystalbrook Drive in Austin (TX),Stray,Normal,Dog,Intact Female,5 years,German Shepherd Mix,Sable
A777512,Envy,01/06/2021 12:45:00 PM,01/06/2021 12:45:00 PM,7537  Redrick Drive in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Siberian Husky/German Shepherd,Black/Tan
A828068,Binky,01/06/2021 01:03:00 PM,01/06/2021 01:03:00 PM,2125 West Ben White Boulevard in Austin (TX),Public Assist,Normal,Dog,Intact Female,2 years,Miniature Poodle/Maltese,Black
A828065,Elliot,01/06/2021 01:03:00 PM,01/06/2021 01:03:00 PM,2125 West Ben White Boulevard in Austin (TX),Public Assist,Normal,Dog,Intact Male,2 years,Miniature Poodle/Maltese,Black
A828070,*Tucker,01/06/2021 01:35:00 PM,01/06/2021 01:35:00 PM,2510 Baxter Drive in Austin (TX),Stray,Normal,Dog,Intact Male,2 months,Labrador Retriever Mix,Black/White
A828063,Rex,01/06/2021 01:48:00 PM,01/06/2021 01:48:00 PM,901 West Ben White Service Road in Austin (TX),Public Assist,Normal,Dog,Neutered Male,3 years,Chihuahua Shorthair,Brown/Tan
A828061,Sally,01/06/2021 01:48:00 PM,01/06/2021 01:48:00 PM,901 West Ben White Service Road in Austin (TX),Public Assist,Normal,Dog,Intact Female,2 years,Lhasa Apso/Miniature Poodle,Gray/Black
A828067,,01/06/2021 01:55:00 PM,01/06/2021 01:55:00 PM,8718 Fm 812 in Travis (TX),Stray,Normal,Dog,Intact Male,2 years,Chihuahua Shorthair,Cream/Gold
A828066,Aero,01/06/2021 01:55:00 PM,01/06/2021 01:55:00 PM,8718 Fm 812 in Travis (TX),Stray,Normal,Dog,Intact Male,2 years,Papillon/Chihuahua Longhair,White/Tricolor
A614394,Ellie,01/06/2021 03:07:00 PM,01/06/2021 03:07:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,8 years,Domestic Shorthair Mix,Black
A614395,Mya,01/06/2021 03:07:00 PM,01/06/2021 03:07:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,8 years,Domestic Shorthair Mix,Black/White
A828072,*Gopher,01/06/2021 03:37:00 PM,01/06/2021 03:37:00 PM,14333 Martin Lane in Travis (TX),Stray,Normal,Dog,Intact Male,2 months,Labrador Retriever/Pointer,Black/White
A828074,*Buzzbee,01/06/2021 03:55:00 PM,01/06/2021 03:55:00 PM,11103 Bruneau Trail in Austin (TX),Stray,Normal,Other,Neutered Male,1 year,Rabbit Sh,White/Gray
A828073,*Ernest,01/06/2021 03:55:00 PM,01/06/2021 03:55:00 PM,11103 Bruneau Trail in Austin (TX),Stray,Normal,Other,Intact Male,1 year,Rabbit Sh,Black/White
A813147,Augie,01/06/2021 04:31:00 PM,01/06/2021 04:31:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,2 years,Australian Kelpie Mix,Black/Brown
A828075,*Odessa,01/06/2021 04:56:00 PM,01/06/2021 04:56:00 PM,6802 Telluride in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Labrador Retriever Mix,Black
A828076,*Momo,01/06/2021 05:59:00 PM,01/06/2021 05:59:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,6 months,Domestic Shorthair,Black/White
A828082,*Falcor,01/07/2021 07:22:00 AM,01/07/2021 07:22:00 AM,11707 Maha Loop in Mustang Ridge (TX),Stray,Injured,Dog,Intact Male,2 years,Anatol Shepherd Mix,Tan
A828090,*Zeus,01/07/2021 10:53:00 AM,01/07/2021 10:53:00 AM,12506 Burlywood Trail in Austin (TX),Stray,Normal,Cat,Intact Male,4 years,Domestic Longhair Mix,Black
A828089,Terrance,01/07/2021 10:54:00 AM,01/07/2021 10:54:00 AM,Outside Jurisdiction,Owner Surrender,Medical,Cat,Neutered Male,8 months,Domestic Shorthair,White/Brown
A827138,Fluffers,01/07/2021 11:04:00 AM,01/07/2021 11:04:00 AM,Outside Jurisdiction,Owner Surrender,Normal,Cat,Neutered Male,5 years,Domestic Longhair,Blue/White
A828091,*Hall,01/07/2021 11:52:00 AM,01/07/2021 11:52:00 AM,13508 Moura Cove in Austin (TX),Wildlife,Normal,Bird,Unknown,1 year,Parakeet,Green/Yellow
A828092,*Oates,01/07/2021 11:52:00 AM,01/07/2021 11:52:00 AM,13508 Moura Cove in Austin (TX),Wildlife,Normal,Bird,Unknown,1 year,Parakeet,Green/Yellow
A828093,Storm,01/07/2021 11:57:00 AM,01/07/2021 11:57:00 AM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,9 years,Domestic Shorthair Mix,Blue Tabby/White
A828098,Bentley,01/07/2021 12:55:00 PM,01/07/2021 12:55:00 PM,Coronado Hill Drive in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Pit Bull,Gray/White
A828102,Rosa,01/07/2021 12:55:00 PM,01/07/2021 12:55:00 PM,Coronado Hill Drive in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Pit Bull,Brown Brindle
A828107,Luna,01/07/2021 02:35:00 PM,01/07/2021 02:35:00 PM,12500 Old San Antonio Road in Travis (TX),Stray,Normal,Dog,Spayed Female,4 years,Great Dane Mix,Black/White
A828106,Asher,01/07/2021 02:35:00 PM,01/07/2021 02:35:00 PM,12500 Old San Antonio Road in Travis (TX),Stray,Normal,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black/White
A828109,Layla,01/07/2021 02:54:00 PM,01/07/2021 02:54:00 PM,360 And Bee Cave in Austin (TX),Stray,Normal,Dog,Spayed Female,2 years,Basenji Mix,Black/White
A828108,*Phife,01/07/2021 02:54:00 PM,01/07/2021 02:54:00 PM,7202 Bethune Avenue in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Pit Bull,Brown Brindle/White
A828113,Ellie,01/07/2021 03:47:00 PM,01/07/2021 03:47:00 PM,5700 Blue Bluff Road in Austin (TX),Stray,Normal,Dog,Intact Female,4 years,German Shepherd Mix,Black/Brown
A828111,Plume,01/07/2021 03:48:00 PM,01/07/2021 03:48:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,5 years,Domestic Longhair,White/Black
A828112,Sunni Hope,01/07/2021 03:57:00 PM,01/07/2021 03:57:00 PM,780 Bastrop Highway in Austin (TX),Stray,Normal,Dog,Spayed Female,3 years,Doberman Pinsch Mix,Black/Tan
A827824,*Cowboy,01/07/2021 04:29:00 PM,01/07/2021 04:29:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,2 months,Pit Bull,Chocolate
A780360,Pupabella,01/07/2021 07:21:00 PM,01/07/2021 07:21:00 PM,2706 Wheless in Austin (TX),Public Assist,Normal,Dog,Spayed Female,3 years,Pit Bull Mix,Blue/White
A828116,,01/08/2021 08:28:00 AM,01/08/2021 08:28:00 AM,11026 Crossland Drive in Austin (TX),Wildlife,Sick,Other,Unknown,1 year,Fox,Brown/Black
A828117,*Icee,01/08/2021 08:33:00 AM,01/08/2021 08:33:00 AM,18005 Basket Flower Bend in Travis (TX),Stray,Normal,Dog,Intact Female,1 year,Border Collie Mix,White
A828100,Neme,01/08/2021 10:10:00 AM,01/08/2021 10:10:00 AM,8712 Old Manor Road in Austin (TX),Stray,Normal,Dog,Intact Male,1 month,Chihuahua Shorthair,Black
A828124,Obi,01/08/2021 11:42:00 AM,01/08/2021 11:42:00 AM,8413 Forest Heights Lane in Austin (TX),Stray,Sick,Cat,Neutered Male,10 years,Domestic Shorthair,Black
A827800,*Carlo,01/08/2021 11:45:00 AM,01/08/2021 11:45:00 AM,Nameless Road And 1431 in Travis (TX),Stray,Normal,Dog,Intact Male,2 years,Australian Cattle Dog Mix,Red Tick/White
A827799,*Monte,01/08/2021 11:45:00 AM,01/08/2021 11:45:00 AM,Nameless Road And 1431 in Travis (TX),Stray,Normal,Dog,Intact Male,2 years,Australian Cattle Dog Mix,White/Red Tick
A828125,Polvoron,01/08/2021 12:07:00 PM,01/08/2021 12:07:00 PM,2411 Lakehurst Drive in Austin (TX),Stray,Sick,Cat,Neutered Male,10 years,Domestic Shorthair Mix,Blue Tabby/White
A828129,,01/08/2021 01:11:00 PM,01/08/2021 01:11:00 PM,11214 Amethyst in Austin (TX),Stray,Normal,Cat,Intact Male,2 years,Abyssinian,Brown/Black
A828139,Baby,01/08/2021 01:54:00 PM,01/08/2021 01:54:00 PM,1137 Gunter Street in Austin (TX),Stray,Normal,Cat,Intact Male,10 years,Domestic Shorthair Mix,Brown Tabby/White
A828131,,01/08/2021 02:30:00 PM,01/08/2021 02:30:00 PM,7200 Grand Canyon Drive in Austin (TX),Stray,Normal,Dog,Intact Female,3 years,German Shepherd,Black/Brown
A828132,,01/08/2021 02:30:00 PM,01/08/2021 02:30:00 PM,7200 Grand Canyon Drive in Austin (TX),Stray,Normal,Dog,Intact Male,3 years,German Shepherd,Brown/Black
A828152,Steel,01/08/2021 04:25:00 PM,01/08/2021 04:25:00 PM,Woodland Village in Austin (TX),Stray,Normal,Dog,Intact Male,3 years,Pit Bull,Blue/White
A828147,Maya,01/08/2021 04:26:00 PM,01/08/2021 04:26:00 PM,1314 Norwalk Lane in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair,Black
A815695,King,01/08/2021 04:30:00 PM,01/08/2021 04:30:00 PM,7200 Grand Canyon Drive in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,German Shepherd,Brown
A828153,Mamita,01/08/2021 04:45:00 PM,01/08/2021 04:45:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,1 year,Pit Bull Mix,White/Gray
A828157,,01/08/2021 06:54:00 PM,01/08/2021 06:54:00 PM,5613 Manowar in Travis (TX),Stray,Injured,Cat,Neutered Male,3 years,Domestic Shorthair,Black/White
A828158,Odin,01/08/2021 07:01:00 PM,01/08/2021 07:01:00 PM,2224 E Stassney in Austin (TX),Stray,Normal,Dog,Intact Male,10 months,Rottweiler Mix,Black/Tan
A828160,,01/08/2021 10:57:00 PM,01/08/2021 10:57:00 PM,6422 South 183 Highway in Austin (TX),Stray,Normal,Dog,Intact Male,6 months,Labrador Retriever/German Shepherd,Tan
A828164,*Carter,01/09/2021 08:29:00 AM,01/09/2021 08:29:00 AM,4434 Frontier Trail in Austin (TX),Owner Surrender,Injured,Dog,Intact Male,2 years,Chihuahua Shorthair/Yorkshire Terrier,Chocolate/Tan
A828165,Lady,01/09/2021 08:52:00 AM,01/09/2021 08:52:00 AM,1600 Wickersham Lane in Austin (TX),Public Assist,Normal,Dog,Intact Female,3 months,Boxer,Brown/White
A812115,Emilio,01/09/2021 11:02:00 AM,01/09/2021 11:02:00 AM,Floral Park Drive And Jollyville Road in Austin (TX),Stray,Injured,Dog,Intact Male,1 year,German Shepherd,Brown/Tricolor
A828169,,01/09/2021 12:00:00 PM,01/09/2021 12:00:00 PM,5217 Old Spicewood Springs Road in Austin (TX),Public Assist,Normal,Cat,Intact Male,2 years,Domestic Shorthair,Black
A828176,Zeus,01/09/2021 02:16:00 PM,01/09/2021 02:16:00 PM,Howard And Mcneil in Travis (TX),Stray,Normal,Dog,Intact Male,4 months,German Shepherd,Black/Tan
A828172,*Sunny,01/09/2021 03:20:00 PM,01/09/2021 03:20:00 PM,901 Castleton Drive in Travis (TX),Stray,Normal,Dog,Intact Female,1 year,American Pit Bull Terrier Mix,White/Yellow
A828179,,01/09/2021 04:06:00 PM,01/09/2021 04:06:00 PM,11112 Real Quiet Drive in Austin (TX),Wildlife,Sick,Other,Unknown,1 year,Raccoon,Black/Gray
