#,Song ,Artist,Popularity,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Valence (Happiness),Speech,Live,Loud,Tempo,Key,Camelot,Time Signature,Added At,Spotify Track Id
121, A New Hope and End Credits - Medley,"John Williams,London Voices,London Symphony Orchestra",0,"orchestral soundtrack, soundtrack, british choir, british orchestra, classical, classical performance, orchestra","Classical, Easy listening",Star Wars Episode III: Revenge of the Sith [Original Motion Picture Soundtrack],2005,13:05,19,27,88,92,9,3,23,-15 db,90,C Major,8B,3,11/28/15,4kPwWuLQN7jrxzhMM3QNwQ
232, A New Saber,"Stephen Barton,Gordy Haab",27,"british soundtrack, video game music",Easy listening,Star Wars Jedi: Fallen Order (Original Video Game Soundtrack),8/21/20,2:07,27,55,64,95,41,5,23,-12 db,82,G Minor,6A,3,9/3/20,3Libl3u4ADiig2VO3TLHHc
449, A Thousand Tears,Ludwig Goransson,38,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Mandalorian: Chapter 8 (Original Score),12/27/19,4:06,31,30,20,79,4,3,30,-17 db,82,A Major,11B,4,12/27/19,0PqdMQecGbrFd2c35l4ROS
518, A Town at Peace,"Joseph Shirley,Ludwig Goransson",39,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Book of Boba Fett: Vol. 2 (Chapters 5-7) [Original Soundtrack],2/11/22,2:21,32,15,75,91,16,3,8,-22 db,132,G Minor,6A,3,2/15/22,4gTqH4XLZQtZf0JFKzD8mQ
515, A Town Besieged,"Joseph Shirley,Ludwig Goransson",33,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Book of Boba Fett: Vol. 2 (Chapters 5-7) [Original Soundtrack],2/11/22,6:46,35,53,23,90,11,5,11,-13 db,128,C Major,8B,1,2/15/22,1fsc65VEppCjdBlPnlBhKm
451, A Warrior's Death,Ludwig Goransson,34,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Mandalorian: Chapter 8 (Original Score),12/27/19,3:07,18,12,67,93,3,4,15,-17 db,120,C Minor,5A,4,12/27/19,7vo63BFaAwKZoJdQZVrFiR
19, Across the Stars (Love Theme from Star Wars: Episode II),"John Williams,London Symphony Orchestra",0,"orchestral soundtrack, soundtrack, british orchestra, classical, classical performance, orchestra","Classical, Easy listening",Star Wars Episode 2: Attack of the Clones,3/11/02,5:33,9,10,87,90,4,4,11,-23 db,82,C Major,8B,3,4/3/14,2QzCAcW1aA98LW8qMrgL5P
480, Activated,Ludwig Goransson,39,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Mandalorian: Season 2 - Vol. 2 (Chapters 13-16) [Original Score],12/18/20,6:08,35,37,27,85,4,5,38,-15 db,140,Câ™¯/Dâ™­ Major,3B,4,12/18/20,0Uv7mx3eYn6IkM0qhgkRua
97, Aftermath in Mandalore,Kevin Kiner,32,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Clone Wars - The Final Season (Episodes 9-12) [Original Soundtrack],5/4/20,1:22,14,16,85,99,4,4,11,-19 db,68,D Minor,7A,3,5/4/20,1Se2wVJy0rzzMyfSErUvh5
547, Ahch-To Island,John Williams,40,"orchestral soundtrack, soundtrack",Easy listening,Star Wars: The Last Jedi (Original Motion Picture Soundtrack),12/15/17,4:22,6,11,93,92,4,4,8,-18 db,46,G Minor,6A,4,12/15/17,1FFYCAWFz9drun5Br4w5Kk
90, Ahsoka and the 501st,Kevin Kiner,35,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Clone Wars - The Final Season (Episodes 9-12) [Original Soundtrack],5/4/20,2:16,12,26,95,93,3,4,10,-15 db,90,E Minor,9A,3,5/4/20,09Mtsz2tJ2T68KxrfPvYFt
87, Ahsoka and the Martez Sisters,Kevin Kiner,31,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Clone Wars - The Final Season (Episodes 5-8) [Original Soundtrack],4/10/20,3:00,13,19,75,90,4,4,11,-14 db,145,G Minor,6A,5,5/4/20,0hd8rk3WUINYVbdfsu1CqH
92, Ahsoka Cornered,Kevin Kiner,29,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Clone Wars - The Final Season (Episodes 9-12) [Original Soundtrack],5/4/20,2:24,9,13,26,96,9,4,27,-27 db,170,A#/Bâ™­ Minor,3A,5,5/4/20,7mVBsCv3MFT3Ip29EDeQd0
303, Ahsoka Duels the Inquisitors,Kevin Kiner,26,"scorecore, soundtrack, video game music",Easy listening,Star Wars Rebels: Season Two (Original Soundtrack),9/30/16,2:30,19,53,10,73,10,3,10,-10 db,150,A#/Bâ™­ Major,6B,3,5/9/17,4FREIZENlyt5JOS0hVa60w
88, Ahsoka Is Back,Kevin Kiner,35,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Clone Wars - The Final Season (Episodes 9-12) [Original Soundtrack],5/4/20,2:07,12,24,89,77,5,4,11,-14 db,96,F Minor,4A,4,5/4/20,74NKknyy8fr1MGJbyYD5Ku
56, Ahsoka Leaves,Kevin Kiner,48,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Clone Wars (Seasons One Through Six/Original Soundtrack),1/1/14,2:22,8,19,61,92,4,4,13,-16 db,176,G Major,9B,4,5/9/17,2MhsbNixSxMiitxzlFR22o
473, Ahsoka Lives,Ludwig Goransson,44,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Mandalorian: Season 2 - Vol. 2 (Chapters 13-16) [Original Score],12/18/20,3:43,19,5,73,79,4,4,6,-23 db,111,G Minor,6A,4,12/18/20,7Gq4mTdhrYlY5dHy2UooRH
31, Ahsoka Saves Anakin,Kevin Kiner,36,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Clone Wars (Seasons One Through Six/Original Soundtrack),1/1/14,2:11,43,64,47,91,31,4,40,-8 db,86,C Minor,5A,4,5/9/17,4APaLpfX2AEp7SaLsvqPSq
76, Ahsoka to the Rescue,Kevin Kiner,25,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Clone Wars - The Final Season (Episodes 5-8) [Original Soundtrack],4/10/20,2:40,27,50,18,75,10,3,29,-8 db,104,F Minor,4A,4,5/4/20,0TYSBZ8E9t26Uo4bk4keUI
89, Ahsoka vs. Maul,Kevin Kiner,38,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Clone Wars - The Final Season (Episodes 9-12) [Original Soundtrack],5/4/20,2:41,38,86,44,89,15,9,32,-9 db,128,F Minor,4A,3,5/4/20,6Lr2bN5bhrrqeSC1OOj6sZ
55, Ahsokaâ€™s Fall,Kevin Kiner,30,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Clone Wars (Seasons One Through Six/Original Soundtrack),1/1/14,1:53,16,26,65,94,5,4,17,-12 db,129,E Major,12B,4,5/9/17,6wI5le9tkQTnL4kI5EhPLc
496, Aliit Ori'shya Tal'din,"Joseph Shirley,Ludwig Goransson",44,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Book of Boba Fett: Vol. 1 (Chapters 1-4) [Original Soundtrack],1/21/22,6:12,19,28,82,92,4,3,11,-17 db,92,F Major,7B,3,2/4/22,3MBrsOZIkzu5W2MCIPZmoF
277, All for Fruit,Kevin Kiner,21,"scorecore, soundtrack, video game music",Easy listening,Star Wars Rebels: Season One (Original Soundtrack),9/16/16,2:06,11,52,22,85,12,3,35,-8 db,81,G Major,9B,4,5/9/17,0VJBLTrdy4kzQXE7Hf1sHG
283, Alliance,Kevin Kiner,22,"scorecore, soundtrack, video game music",Easy listening,Star Wars Rebels: Season One (Original Soundtrack),9/16/16,0:58,29,66,15,89,34,4,26,-5 db,110,F Major,7B,4,5/9/17,3CCQ1Y865yLmy1O9NembYV
199, An Unscheduled Stop,"Stephen Barton,Gordy Haab",28,"british soundtrack, video game music",Easy listening,Star Wars Jedi: Fallen Order (Original Video Game Soundtrack),8/21/20,2:24,15,10,76,75,3,4,32,-24 db,138,E Minor,9A,4,9/3/20,1Pkawhpka1TJy9vUkf1GvU
319, Anakin and Ahsoka,Kevin Kiner,33,"scorecore, soundtrack, video game music",Easy listening,Star Wars Rebels: Season Two (Original Soundtrack),9/30/16,1:17,9,37,23,92,6,3,12,-8 db,86,G#/Aâ™­ Major,4B,5,5/9/17,32Nn1dEJXKwpHJzlQEBwQn
23, Anakin and PadmÃ©,"John Williams,London Symphony Orchestra",0,"orchestral soundtrack, soundtrack, british orchestra, classical, classical performance, orchestra","Classical, Easy listening",Star Wars Episode 2: Attack of the Clones,3/11/02,3:56,15,1,95,86,4,4,10,-36 db,136,F Major,7B,3,4/3/14,5fWpTVNBpKDRq6CG25AyGc
48, Anakin and PadmÃ©,Kevin Kiner,35,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Clone Wars (Seasons One Through Six/Original Soundtrack),1/1/14,1:48,16,24,88,82,4,4,10,-14 db,81,G Minor,6A,5,5/9/17,0QmGja490CPspd6qvyum9q
64, Anakin and PadmÃ©,Kevin Kiner,28,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Clone Wars - The Final Season (Episodes 1-4) [Original Soundtrack],3/13/20,1:49,12,13,88,91,4,4,37,-16 db,74,D Minor,7A,4,5/4/20,1owDmjtqvkRI7J8PiYBHOf
9, Anakin Defeats Sebulba,"John Williams,London Symphony Orchestra,London Voices,New London Children's Choir",0,"orchestral soundtrack, soundtrack, british orchestra, classical, classical performance, orchestra, british choir, children's choir","Classical, Easy listening",Star Wars: The Phantom Menace (Original Motion Picture Soundtrack),5/4/99,4:23,28,40,79,86,7,4,31,-16 db,84,E Minor,9A,3,5/9/17,09kPqIiUTSq5LKS6JYGAju
49, Anakin Sees His Future,"Kevin Kiner,Matthew St. Laurent",31,"scorecore, soundtrack, video game music,",Easy listening,Star Wars: The Clone Wars (Seasons One Through Six/Original Soundtrack),1/1/14,2:28,15,19,87,89,3,4,12,-12 db,81,D#/Eâ™­ Minor,2A,4,5/9/17,0GqiuOzmgPbsUORx5Y1VsZ
115, Anakin vs. Obi-Wan,"John Williams,London Voices,London Symphony Orchestra",0,"orchestral soundtrack, soundtrack, british choir, british orchestra, classical, classical performance, orchestra","Classical, Easy listening",Star Wars Episode III: Revenge of the Sith [Original Motion Picture Soundtrack],2005,3:57,32,37,82,88,11,4,10,-16 db,92,C Major,8B,4,11/28/15,7I2rc4X8fudMjFkLO91tNB
38, Anakin Wants Her Alive,Kevin Kiner,31,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Clone Wars (Seasons One Through Six/Original Soundtrack),1/1/14,2:16,29,67,5,39,47,4,12,-6 db,88,Câ™¯/Dâ™­ Major,3B,4,5/9/17,3HBmgFaTg1P9lM0Aauc52k
110, Anakin's Betrayal,"John Williams,London Voices,London Symphony Orchestra",0,"orchestral soundtrack, soundtrack, british choir, british orchestra, classical, classical performance, orchestra","Classical, Easy listening",Star Wars Episode III: Revenge of the Sith [Original Motion Picture Soundtrack],2005,4:03,10,16,88,96,4,4,11,-18 db,91,A Minor,8A,4,11/28/15,5uXXHbXfoebEI6qqiIqOdl
116, Anakin's Dark Deeds,"John Williams,London Voices,London Symphony Orchestra",0,"orchestral soundtrack, soundtrack, british choir, british orchestra, classical, classical performance, orchestra","Classical, Easy listening",Star Wars Episode III: Revenge of the Sith [Original Motion Picture Soundtrack],2005,4:05,14,12,91,93,8,3,8,-17 db,86,G Minor,6A,3,11/28/15,372HPDnHzBCjwwX18dfM6I
108, Anakin's Dream,"John Williams,London Voices,London Symphony Orchestra",0,"orchestral soundtrack, soundtrack, british choir, british orchestra, classical, classical performance, orchestra","Classical, Easy listening",Star Wars Episode III: Revenge of the Sith [Original Motion Picture Soundtrack],2005,4:46,7,4,91,90,4,5,10,-27 db,73,E Minor,9A,3,11/28/15,11Tv6Yw69y3xVwNNe08R78
3, Anakin's Theme,"London Voices,London Symphony Orchestra,John Williams,New London Children's Choir",0,"british choir, british orchestra, classical, classical performance, orchestra, orchestral soundtrack, soundtrack, children's choir","Classical, Easy listening",Star Wars: The Phantom Menace (Original Motion Picture Soundtrack),5/4/99,3:08,17,5,84,92,4,4,17,-28 db,75,A Major,11B,3,5/9/17,5iO6RzoIkRJrPUdjNSwtau
572, Anthem of Evil,John Williams,33,"orchestral soundtrack, soundtrack",Easy listening,Star Wars: The Rise of Skywalker (Original Motion Picture Soundtrack),12/18/19,3:23,19,5,96,95,4,4,11,-18 db,110,B Minor,10A,3,12/27/19,6epK9JeBlKDnGq60V0li2D
579, Approaching the Throne,John Williams,31,"orchestral soundtrack, soundtrack",Easy listening,Star Wars: The Rise of Skywalker (Original Motion Picture Soundtrack),12/18/19,4:16,8,24,80,95,6,4,10,-17 db,72,C Minor,5A,5,12/27/19,3v7yD8eGITAdrTCpXarecX
336, AT-ACT Assault,Michael Giacchino,33,"orchestral soundtrack, soundtrack",Easy listening,Rogue One: A Star Wars Story (Original Motion Picture Soundtrack),12/16/16,2:55,39,49,91,63,12,5,10,-12 db,151,F Minor,4A,4,12/17/16,3GZPC62okpzTgJnVXwiYRh
210, AT-AT Hijacked,"Stephen Barton,Gordy Haab",26,"british soundtrack, video game music",Easy listening,Star Wars Jedi: Fallen Order (Original Video Game Soundtrack),8/21/20,3:52,19,51,74,91,13,6,32,-13 db,84,E Minor,9A,4,9/3/20,41v9qi3eaAuJr2l3uQvVu0
17, Augie's Great Municipal Band/ End Credits,"London Voices,London Symphony Orchestra,John Williams,New London Children's Choir",0,"british choir, british orchestra, classical, classical performance, orchestra, orchestral soundtrack, soundtrack, children's choir","Classical, Easy listening",Star Wars: The Phantom Menace (Original Motion Picture Soundtrack),5/4/99,9:38,19,40,79,74,9,9,36,-18 db,80,F Major,7B,4,5/9/17,504h3IcUaIltwtkZz9Go4W
389, Back for Beskar,Ludwig Goransson,47,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Mandalorian: Chapter 1 (Original Score),11/12/19,2:25,30,12,2,91,4,4,12,-20 db,125,F#/Gâ™­ Minor,11A,4,12/27/19,49RWR29zw6qV6UpqjoOYmS
184, Back to Tipoca City,Kevin Kiner,22,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Bad Batch - Vol. 2 (Episodes 9-16) [Original Soundtrack],8/20/21,2:36,23,19,19,91,4,4,18,-18 db,79,G Minor,6A,4,9/14/21,3KjwCAXQ8QXUINutpczrY1
467, Back Together,Ludwig Goransson,38,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Mandalorian: Season 2 - Vol. 1 (Chapters 9-12) [Original Score],11/20/20,2:19,14,6,73,84,4,3,9,-25 db,83,G Major,9B,4,11/20/20,6IWckCQcVNJWrknFCNcift
72, Bad Batch Heroics,Kevin Kiner,35,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Clone Wars - The Final Season (Episodes 1-4) [Original Soundtrack],3/13/20,2:09,31,33,45,89,5,3,13,-12 db,140,A#/Bâ™­ Major,6B,4,5/4/20,664NeBjmpNyEXPNPjB3Zvl
59," Bad Batch Theme - From ""Star Wars: The Clone Wars - The Final Season""",Kevin Kiner,46,"scorecore, soundtrack, video game music",Easy listening,"Bad Batch Theme (From ""Star Wars: The Clone Wars - The Final Season"")",2/21/20,2:00,48,16,14,85,8,3,11,-17 db,100,Câ™¯/Dâ™­ Major,3B,4,5/10/20,5u4B5vUi7cVqcuoKjgCVkg
160, Bane vs Shand,Kevin Kiner,25,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Bad Batch - Vol. 2 (Episodes 9-16) [Original Soundtrack],8/20/21,3:01,27,44,25,77,7,5,9,-11 db,112,D Major,10B,3,9/14/21,5vIahxfxuAHTm3JvwHrasg
514, Battle for Mos Espa,"Joseph Shirley,Ludwig Goransson",39,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Book of Boba Fett: Vol. 2 (Chapters 5-7) [Original Soundtrack],2/11/22,2:30,30,58,47,70,4,5,37,-13 db,68,D Minor,7A,4,2/15/22,0CN8D4RBp2qbDijxLuhERA
109, Battle of the Heroes,"John Williams,London Voices,London Symphony Orchestra",0,"orchestral soundtrack, soundtrack, british choir, british orchestra, classical, classical performance, orchestra","Classical, Easy listening",Star Wars Episode III: Revenge of the Sith [Original Motion Picture Soundtrack],2005,3:42,33,29,93,92,12,3,15,-15 db,91,C Minor,5A,3,11/28/15,7FiTJNqbYAoicKLO539Lbl
578, Battle of the Resistance,John Williams,35,"orchestral soundtrack, soundtrack",Easy listening,Star Wars: The Rise of Skywalker (Original Motion Picture Soundtrack),12/18/19,2:51,23,41,77,91,21,7,40,-13 db,58,F Minor,4A,4,12/27/19,5crTeZqK71661wKQ6KdVum
96, Battle of Yerbana,Kevin Kiner,29,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Clone Wars - The Final Season (Episodes 9-12) [Original Soundtrack],5/4/20,2:05,28,44,48,95,20,4,8,-10 db,130,A Minor,8A,4,5/4/20,5tBOdOirBplxsdFHfT7PK6
126, Battle Simulation,Kevin Kiner,27,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Bad Batch - Vol. 1 (Episodes 1-8) [Original Soundtrack],6/25/21,4:46,33,56,32,95,22,4,11,-12 db,81,F#/Gâ™­ Minor,11A,4,7/8/21,4h60ycOF3SoQWeXUNclGmP
203, BD-1 and the Boglings,"Stephen Barton,Gordy Haab",28,"british soundtrack, video game music",Easy listening,Star Wars Jedi: Fallen Order (Original Video Game Soundtrack),8/21/20,3:33,57,4,99,93,5,4,32,-27 db,115,A#/Bâ™­ Major,6B,4,9/3/20,78Nv63gF8BIGTnMn6nRTLB
347, Ben's Death and TIE Fighter Attack,"John Williams,London Symphony Orchestra",0,"orchestral soundtrack, soundtrack, british orchestra, classical, classical performance, orchestra","Classical, Easy listening",Star Wars: A New Hope (Original Motion Picture Soundtrack),1/1/77,3:50,42,28,93,81,14,4,7,-16 db,74,D Minor,7A,4,5/30/18,1Y5jYcPrBsSujcmbh3hlKX
462, Beneath the Ice,Ludwig Goransson,35,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Mandalorian: Season 2 - Vol. 1 (Chapters 9-12) [Original Score],11/20/20,5:25,18,7,90,78,3,4,9,-26 db,112,G#/Aâ™­ Major,4B,3,11/20/20,2RNpmzXD0fFeIycUU27GFJ
300, Best Pilot in the Galaxy,Kevin Kiner,23,"scorecore, soundtrack, video game music",Easy listening,Star Wars Rebels: Season Two (Original Soundtrack),9/30/16,2:37,23,51,42,80,10,3,12,-6 db,73,A Minor,8A,4,5/9/17,4NkdYQzUIVnKuosW4CxctI
442, Black Skies,Ludwig Goransson,32,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Mandalorian: Chapter 7 (Original Score),12/18/19,4:37,21,21,70,86,4,5,8,-18 db,131,D Major,10B,4,12/27/19,22f9Q6TpT4ClLRY0HHEgp0
316, Blinded,Kevin Kiner,23,"scorecore, soundtrack, video game music",Easy listening,Star Wars Rebels: Season Two (Original Soundtrack),9/30/16,1:28,12,50,52,81,13,4,12,-7 db,76,D Minor,7A,3,5/9/17,3xwrt7GLpP5dvC7hGwlQma
391, Blurg Attack,Ludwig Goransson,43,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Mandalorian: Chapter 1 (Original Score),11/12/19,1:25,29,29,38,72,17,9,8,-14 db,173,Câ™¯/Dâ™­ Major,3B,3,12/27/19,4WnaEoaeaz0StgHNupxvxW
491, Boba's Throne,"Joseph Shirley,Ludwig Goransson",47,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Book of Boba Fett: Vol. 1 (Chapters 1-4) [Original Soundtrack],1/21/22,3:45,25,31,63,88,4,5,29,-16 db,134,G Major,9B,4,2/4/22,5dHi50VL84X1SboMkXz4D7
202, Bogano,"Stephen Barton,Gordy Haab",31,"british soundtrack, video game music",Easy listening,Star Wars Jedi: Fallen Order (Original Video Game Soundtrack),8/21/20,5:53,26,3,93,40,6,4,11,-28 db,94,C Major,8B,4,9/3/20,3STxzcZrJlnuVk5EN3MT4G
153, Bomb Disposal Training,Kevin Kiner,22,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Bad Batch - Vol. 1 (Episodes 1-8) [Original Soundtrack],6/25/21,2:46,19,36,48,89,4,4,14,-12 db,83,G Minor,6A,4,7/8/21,39CWtxbUbzTCK325xa1L0W
393, Bounty Droid,Ludwig Goransson,44,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Mandalorian: Chapter 1 (Original Score),11/12/19,3:02,28,69,0,76,4,7,12,-13 db,140,Câ™¯/Dâ™­ Major,3B,4,12/27/19,2SEKRM4EgT7qUKApXI62LS
26, Bounty Hunter's Pursuit,"John Williams,London Symphony Orchestra",0,"orchestral soundtrack, soundtrack, british orchestra, classical, classical performance, orchestra","Classical, Easy listening",Star Wars Episode 2: Attack of the Clones,3/11/02,3:23,21,9,86,87,5,4,11,-20 db,97,G#/Aâ™­ Major,4B,4,4/3/14,2kKZhFH8R0N5hLh3SaoQVh
95, Break for the Shuttle,Kevin Kiner,31,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Clone Wars - The Final Season (Episodes 9-12) [Original Soundtrack],5/4/20,3:06,39,59,58,81,10,5,12,-9 db,114,G Minor,6A,3,5/4/20,2HEgQGcYUGA1Fz0gH6pf4l
253, Break Out,John Powell,27,"british soundtrack, orchestral soundtrack, soundtrack",Easy listening,Solo: A Star Wars Story (Original Motion Picture Soundtrack),5/25/18,6:15,20,44,11,89,7,5,19,-15 db,107,G Minor,6A,4,5/27/18,3mrnEuZZPzMbx0KA64yvN4
156, Breakaway Plan,Kevin Kiner,23,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Bad Batch - Vol. 1 (Episodes 1-8) [Original Soundtrack],6/25/21,3:49,25,28,34,95,4,4,8,-12 db,112,D Major,10B,4,7/8/21,03dXDrE26q0eWXCNSZ3pyJ
420, Bright Eyes,Ludwig Goransson,35,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Mandalorian: Chapter 5 (Original Score),12/6/19,1:40,74,3,91,63,43,6,13,-32 db,120,D#/Eâ™­ Major,5B,3,12/27/19,5TKsD1RKBM1RsV2EgfsuJP
229, Broken Saber,"Stephen Barton,Gordy Haab",23,"british soundtrack, video game music",Easy listening,Star Wars Jedi: Fallen Order (Original Video Game Soundtrack),8/21/20,6:05,16,24,79,96,4,5,9,-19 db,132,A Major,11B,3,9/3/20,1x8g9CnDnMnGdz6a8caBTE
478, Brown Eyes,Ludwig Goransson,37,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Mandalorian: Season 2 - Vol. 2 (Chapters 13-16) [Original Score],12/18/20,2:51,13,6,48,88,3,4,9,-30 db,185,C Minor,5A,4,12/18/20,1TZzHs2chd54v9RMqsp7Xg
105, Burying the Dead,Kevin Kiner,54,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Clone Wars - The Final Season (Episodes 9-12) [Original Soundtrack],5/4/20,2:16,28,24,97,89,3,4,7,-16 db,67,D Major,10B,3,5/4/20,2EgVDzhE9yBHO7DgMdWCwk
77, Cafe Coruscant,Kevin Kiner,25,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Clone Wars - The Final Season (Episodes 5-8) [Original Soundtrack],4/10/20,1:52,36,74,8,48,65,5,23,-9 db,144,D Major,10B,3,5/4/20,0quxTs9mzvU2NDcQH0CEWv
197, Cal Kestis,"Stephen Barton,Gordy Haab",38,"british soundtrack, video game music",Easy listening,Star Wars Jedi: Fallen Order (Original Video Game Soundtrack),8/21/20,5:33,43,14,84,65,14,4,12,-25 db,113,E Minor,9A,4,9/3/20,4bJljUkgHFrGl8CBI1HlVg
129, Caleb at the Cliff,Kevin Kiner,25,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Bad Batch - Vol. 1 (Episodes 1-8) [Original Soundtrack],6/25/21,3:01,15,29,37,70,3,4,34,-13 db,84,Câ™¯/Dâ™­ Major,3B,3,7/8/21,2D8kKICCsQFlpdoXQt8sUG
