tconst,ordering,nconst,category,job,characters,title,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
tt0088510,7,nm0456194,actor,\N,\N,,Michael Kirby,1925,2002,"actor,writer,soundtrack","tt0081192,tt0078269,tt0099677,tt0040848"
tt0088510,8,nm0049827,actor,\N,"Vlix,The Great Heep",,Long John Baldry,1941,2005,"actor,soundtrack,music_department","tt0222518,tt0067917,tt5540054,tt0088559"
tt0088510,9,nm0125579,actor,\N,\N,,George Buza,1949,\N,actor,"tt0120903,tt0115086,tt0103584,tt0098851"
tt0088510,10,nm0156838,actor,\N,\N,,Milan Cheylov,\N,\N,"director,producer,actor","tt0285331,tt0455275,tt2364582,tt0773262"
tt0088510,1,nm0000355,actor,\N,C-3PO,,Anthony Daniels,1946,\N,"actor,producer,writer","tt2488496,tt0076759,tt0080684,tt2527336"
tt0088510,2,nm0132491,actor,\N,"Admiral Screed,Lord Toda",,Graeme Campbell,1940,1992,actor,"tt0088510,tt0066630,tt0067411,tt0096425"
tt0088510,3,nm0377243,actor,\N,"Jord Dusat,Jyn Obah,Uncle Gundy",,Dan Hennessey,1941,\N,"actor,miscellaneous","tt0088885,tt0086203,tt0092723,tt0085033"
tt0088510,4,nm0290475,actor,\N,"Jann Tosh,Kybo Ren,Boba Fett",,Don Francks,1932,2016,"actor,writer,music_department","tt0368794,tt0113481,tt0082509,tt0082782"
tt0088510,5,nm0122645,actor,\N,Sise Fromm,,Donny Burns,\N,\N,actor,"tt0088510,tt0086203,tt0207919,tt0090847"
tt0088510,6,nm0830799,actor,\N,"Sollag,Greej,Lin-D",,John Stocker,1947,\N,"actor,sound_department,miscellaneous","tt0097235,tt0328733,tt0107438,tt0092723"
tt0088510,7,nm0456194,actor,\N,\N,,Michael Kirby,1925,2002,"actor,writer,soundtrack","tt0081192,tt0078269,tt0099677,tt0040848"
tt0088510,8,nm0049827,actor,\N,"Vlix,The Great Heep",,Long John Baldry,1941,2005,"actor,soundtrack,music_department","tt0222518,tt0067917,tt5540054,tt0088559"
tt0088510,9,nm0125579,actor,\N,\N,,George Buza,1949,\N,actor,"tt0120903,tt0115086,tt0103584,tt0098851"
tt0088510,10,nm0156838,actor,\N,\N,,Milan Cheylov,\N,\N,"director,producer,actor","tt0285331,tt0455275,tt2364582,tt0773262"
tt0088510,1,nm0000355,actor,\N,C-3PO,,Anthony Daniels,1946,\N,"actor,producer,writer","tt2488496,tt0076759,tt0080684,tt2527336"
tt0088510,2,nm0132491,actor,\N,"Admiral Screed,Lord Toda",,Graeme Campbell,1940,1992,actor,"tt0088510,tt0066630,tt0067411,tt0096425"
tt0088510,3,nm0377243,actor,\N,"Jord Dusat,Jyn Obah,Uncle Gundy",,Dan Hennessey,1941,\N,"actor,miscellaneous","tt0088885,tt0086203,tt0092723,tt0085033"
tt0088510,4,nm0290475,actor,\N,"Jann Tosh,Kybo Ren,Boba Fett",,Don Francks,1932,2016,"actor,writer,music_department","tt0368794,tt0113481,tt0082509,tt0082782"
tt0088510,5,nm0122645,actor,\N,Sise Fromm,,Donny Burns,\N,\N,actor,"tt0088510,tt0086203,tt0207919,tt0090847"
tt0088510,6,nm0830799,actor,\N,"Sollag,Greej,Lin-D",,John Stocker,1947,\N,"actor,sound_department,miscellaneous","tt0097235,tt0328733,tt0107438,tt0092723"
tt0088510,7,nm0456194,actor,\N,\N,,Michael Kirby,1925,2002,"actor,writer,soundtrack","tt0081192,tt0078269,tt0099677,tt0040848"
tt0088510,8,nm0049827,actor,\N,"Vlix,The Great Heep",,Long John Baldry,1941,2005,"actor,soundtrack,music_department","tt0222518,tt0067917,tt5540054,tt0088559"
tt0088510,9,nm0125579,actor,\N,\N,,George Buza,1949,\N,actor,"tt0120903,tt0115086,tt0103584,tt0098851"
tt0088510,10,nm0156838,actor,\N,\N,,Milan Cheylov,\N,\N,"director,producer,actor","tt0285331,tt0455275,tt2364582,tt0773262"
tt0088510,1,nm0000355,actor,\N,C-3PO,,Anthony Daniels,1946,\N,"actor,producer,writer","tt2488496,tt0076759,tt0080684,tt2527336"
tt0088510,2,nm0132491,actor,\N,"Admiral Screed,Lord Toda",,Graeme Campbell,1940,1992,actor,"tt0088510,tt0066630,tt0067411,tt0096425"
tt0088510,3,nm0377243,actor,\N,"Jord Dusat,Jyn Obah,Uncle Gundy",,Dan Hennessey,1941,\N,"actor,miscellaneous","tt0088885,tt0086203,tt0092723,tt0085033"
tt0088510,4,nm0290475,actor,\N,"Jann Tosh,Kybo Ren,Boba Fett",,Don Francks,1932,2016,"actor,writer,music_department","tt0368794,tt0113481,tt0082509,tt0082782"
tt0088510,5,nm0122645,actor,\N,Sise Fromm,,Donny Burns,\N,\N,actor,"tt0088510,tt0086203,tt0207919,tt0090847"
tt0088510,6,nm0830799,actor,\N,"Sollag,Greej,Lin-D",,John Stocker,1947,\N,"actor,sound_department,miscellaneous","tt0097235,tt0328733,tt0107438,tt0092723"
tt0088510,7,nm0456194,actor,\N,\N,,Michael Kirby,1925,2002,"actor,writer,soundtrack","tt0081192,tt0078269,tt0099677,tt0040848"
tt0088510,8,nm0049827,actor,\N,"Vlix,The Great Heep",,Long John Baldry,1941,2005,"actor,soundtrack,music_department","tt0222518,tt0067917,tt5540054,tt0088559"
tt0088510,9,nm0125579,actor,\N,\N,,George Buza,1949,\N,actor,"tt0120903,tt0115086,tt0103584,tt0098851"
tt0088510,10,nm0156838,actor,\N,\N,,Milan Cheylov,\N,\N,"director,producer,actor","tt0285331,tt0455275,tt2364582,tt0773262"
tt0088510,1,nm0000355,actor,\N,C-3PO,,Anthony Daniels,1946,\N,"actor,producer,writer","tt2488496,tt0076759,tt0080684,tt2527336"
tt0088510,2,nm0132491,actor,\N,"Admiral Screed,Lord Toda",,Graeme Campbell,1940,1992,actor,"tt0088510,tt0066630,tt0067411,tt0096425"
tt0088510,3,nm0377243,actor,\N,"Jord Dusat,Jyn Obah,Uncle Gundy",,Dan Hennessey,1941,\N,"actor,miscellaneous","tt0088885,tt0086203,tt0092723,tt0085033"
tt0088510,4,nm0290475,actor,\N,"Jann Tosh,Kybo Ren,Boba Fett",,Don Francks,1932,2016,"actor,writer,music_department","tt0368794,tt0113481,tt0082509,tt0082782"
tt0088510,5,nm0122645,actor,\N,Sise Fromm,,Donny Burns,\N,\N,actor,"tt0088510,tt0086203,tt0207919,tt0090847"
tt0088510,6,nm0830799,actor,\N,"Sollag,Greej,Lin-D",,John Stocker,1947,\N,"actor,sound_department,miscellaneous","tt0097235,tt0328733,tt0107438,tt0092723"
tt0088510,7,nm0456194,actor,\N,\N,,Michael Kirby,1925,2002,"actor,writer,soundtrack","tt0081192,tt0078269,tt0099677,tt0040848"
tt0088510,8,nm0049827,actor,\N,"Vlix,The Great Heep",,Long John Baldry,1941,2005,"actor,soundtrack,music_department","tt0222518,tt0067917,tt5540054,tt0088559"
tt0088510,9,nm0125579,actor,\N,\N,,George Buza,1949,\N,actor,"tt0120903,tt0115086,tt0103584,tt0098851"
tt0088510,10,nm0156838,actor,\N,\N,,Milan Cheylov,\N,\N,"director,producer,actor","tt0285331,tt0455275,tt2364582,tt0773262"
tt0088510,1,nm0000355,actor,\N,C-3PO,,Anthony Daniels,1946,\N,"actor,producer,writer","tt2488496,tt0076759,tt0080684,tt2527336"
tt0088510,2,nm0132491,actor,\N,"Admiral Screed,Lord Toda",,Graeme Campbell,1940,1992,actor,"tt0088510,tt0066630,tt0067411,tt0096425"
tt0088510,3,nm0377243,actor,\N,"Jord Dusat,Jyn Obah,Uncle Gundy",,Dan Hennessey,1941,\N,"actor,miscellaneous","tt0088885,tt0086203,tt0092723,tt0085033"
tt0088510,4,nm0290475,actor,\N,"Jann Tosh,Kybo Ren,Boba Fett",,Don Francks,1932,2016,"actor,writer,music_department","tt0368794,tt0113481,tt0082509,tt0082782"
tt0088510,5,nm0122645,actor,\N,Sise Fromm,,Donny Burns,\N,\N,actor,"tt0088510,tt0086203,tt0207919,tt0090847"
tt0088510,6,nm0830799,actor,\N,"Sollag,Greej,Lin-D",,John Stocker,1947,\N,"actor,sound_department,miscellaneous","tt0097235,tt0328733,tt0107438,tt0092723"
tt0088510,7,nm0456194,actor,\N,\N,,Michael Kirby,1925,2002,"actor,writer,soundtrack","tt0081192,tt0078269,tt0099677,tt0040848"
tt0088510,8,nm0049827,actor,\N,"Vlix,The Great Heep",,Long John Baldry,1941,2005,"actor,soundtrack,music_department","tt0222518,tt0067917,tt5540054,tt0088559"
tt0088510,9,nm0125579,actor,\N,\N,,George Buza,1949,\N,actor,"tt0120903,tt0115086,tt0103584,tt0098851"
tt0088510,10,nm0156838,actor,\N,\N,,Milan Cheylov,\N,\N,"director,producer,actor","tt0285331,tt0455275,tt2364582,tt0773262"
tt0088510,1,nm0000355,actor,\N,C-3PO,,Anthony Daniels,1946,\N,"actor,producer,writer","tt2488496,tt0076759,tt0080684,tt2527336"
tt0088510,2,nm0132491,actor,\N,"Admiral Screed,Lord Toda",,Graeme Campbell,1940,1992,actor,"tt0088510,tt0066630,tt0067411,tt0096425"
tt0088510,3,nm0377243,actor,\N,"Jord Dusat,Jyn Obah,Uncle Gundy",,Dan Hennessey,1941,\N,"actor,miscellaneous","tt0088885,tt0086203,tt0092723,tt0085033"
tt0088510,4,nm0290475,actor,\N,"Jann Tosh,Kybo Ren,Boba Fett",,Don Francks,1932,2016,"actor,writer,music_department","tt0368794,tt0113481,tt0082509,tt0082782"
tt0088510,5,nm0122645,actor,\N,Sise Fromm,,Donny Burns,\N,\N,actor,"tt0088510,tt0086203,tt0207919,tt0090847"
tt0088510,6,nm0830799,actor,\N,"Sollag,Greej,Lin-D",,John Stocker,1947,\N,"actor,sound_department,miscellaneous","tt0097235,tt0328733,tt0107438,tt0092723"
tt0088510,7,nm0456194,actor,\N,\N,,Michael Kirby,1925,2002,"actor,writer,soundtrack","tt0081192,tt0078269,tt0099677,tt0040848"
tt0088510,8,nm0049827,actor,\N,"Vlix,The Great Heep",,Long John Baldry,1941,2005,"actor,soundtrack,music_department","tt0222518,tt0067917,tt5540054,tt0088559"
tt0088510,9,nm0125579,actor,\N,\N,,George Buza,1949,\N,actor,"tt0120903,tt0115086,tt0103584,tt0098851"
tt0088510,10,nm0156838,actor,\N,\N,,Milan Cheylov,\N,\N,"director,producer,actor","tt0285331,tt0455275,tt2364582,tt0773262"
tt0088510,1,nm0000355,actor,\N,C-3PO,,Anthony Daniels,1946,\N,"actor,producer,writer","tt2488496,tt0076759,tt0080684,tt2527336"
tt0088510,2,nm0132491,actor,\N,"Admiral Screed,Lord Toda",,Graeme Campbell,1940,1992,actor,"tt0088510,tt0066630,tt0067411,tt0096425"
tt0088510,3,nm0377243,actor,\N,"Jord Dusat,Jyn Obah,Uncle Gundy",,Dan Hennessey,1941,\N,"actor,miscellaneous","tt0088885,tt0086203,tt0092723,tt0085033"
tt0088510,4,nm0290475,actor,\N,"Jann Tosh,Kybo Ren,Boba Fett",,Don Francks,1932,2016,"actor,writer,music_department","tt0368794,tt0113481,tt0082509,tt0082782"
tt0088510,5,nm0122645,actor,\N,Sise Fromm,,Donny Burns,\N,\N,actor,"tt0088510,tt0086203,tt0207919,tt0090847"
tt0088510,6,nm0830799,actor,\N,"Sollag,Greej,Lin-D",,John Stocker,1947,\N,"actor,sound_department,miscellaneous","tt0097235,tt0328733,tt0107438,tt0092723"
tt0088510,7,nm0456194,actor,\N,\N,,Michael Kirby,1925,2002,"actor,writer,soundtrack","tt0081192,tt0078269,tt0099677,tt0040848"
tt0088510,8,nm0049827,actor,\N,"Vlix,The Great Heep",,Long John Baldry,1941,2005,"actor,soundtrack,music_department","tt0222518,tt0067917,tt5540054,tt0088559"
tt0088510,9,nm0125579,actor,\N,\N,,George Buza,1949,\N,actor,"tt0120903,tt0115086,tt0103584,tt0098851"
tt0088510,10,nm0156838,actor,\N,\N,,Milan Cheylov,\N,\N,"director,producer,actor","tt0285331,tt0455275,tt2364582,tt0773262"
tt0088510,1,nm0000355,actor,\N,C-3PO,,Anthony Daniels,1946,\N,"actor,producer,writer","tt2488496,tt0076759,tt0080684,tt2527336"
tt0088510,2,nm0132491,actor,\N,"Admiral Screed,Lord Toda",,Graeme Campbell,1940,1992,actor,"tt0088510,tt0066630,tt0067411,tt0096425"
tt0088510,3,nm0377243,actor,\N,"Jord Dusat,Jyn Obah,Uncle Gundy",,Dan Hennessey,1941,\N,"actor,miscellaneous","tt0088885,tt0086203,tt0092723,tt0085033"
tt0088510,4,nm0290475,actor,\N,"Jann Tosh,Kybo Ren,Boba Fett",,Don Francks,1932,2016,"actor,writer,music_department","tt0368794,tt0113481,tt0082509,tt0082782"
tt0088510,5,nm0122645,actor,\N,Sise Fromm,,Donny Burns,\N,\N,actor,"tt0088510,tt0086203,tt0207919,tt0090847"
tt0088510,6,nm0830799,actor,\N,"Sollag,Greej,Lin-D",,John Stocker,1947,\N,"actor,sound_department,miscellaneous","tt0097235,tt0328733,tt0107438,tt0092723"
tt0088510,7,nm0456194,actor,\N,\N,,Michael Kirby,1925,2002,"actor,writer,soundtrack","tt0081192,tt0078269,tt0099677,tt0040848"
tt0088510,8,nm0049827,actor,\N,"Vlix,The Great Heep",,Long John Baldry,1941,2005,"actor,soundtrack,music_department","tt0222518,tt0067917,tt5540054,tt0088559"
tt0088510,9,nm0125579,actor,\N,\N,,George Buza,1949,\N,actor,"tt0120903,tt0115086,tt0103584,tt0098851"
tt0088510,10,nm0156838,actor,\N,\N,,Milan Cheylov,\N,\N,"director,producer,actor","tt0285331,tt0455275,tt2364582,tt0773262"
tt0088510,1,nm0000355,actor,\N,C-3PO,,Anthony Daniels,1946,\N,"actor,producer,writer","tt2488496,tt0076759,tt0080684,tt2527336"
tt0088510,2,nm0132491,actor,\N,"Admiral Screed,Lord Toda",,Graeme Campbell,1940,1992,actor,"tt0088510,tt0066630,tt0067411,tt0096425"
tt0088510,3,nm0377243,actor,\N,"Jord Dusat,Jyn Obah,Uncle Gundy",,Dan Hennessey,1941,\N,"actor,miscellaneous","tt0088885,tt0086203,tt0092723,tt0085033"
tt0088510,4,nm0290475,actor,\N,"Jann Tosh,Kybo Ren,Boba Fett",,Don Francks,1932,2016,"actor,writer,music_department","tt0368794,tt0113481,tt0082509,tt0082782"
tt0088510,5,nm0122645,actor,\N,Sise Fromm,,Donny Burns,\N,\N,actor,"tt0088510,tt0086203,tt0207919,tt0090847"
tt0088510,6,nm0830799,actor,\N,"Sollag,Greej,Lin-D",,John Stocker,1947,\N,"actor,sound_department,miscellaneous","tt0097235,tt0328733,tt0107438,tt0092723"
tt0088510,7,nm0456194,actor,\N,\N,,Michael Kirby,1925,2002,"actor,writer,soundtrack","tt0081192,tt0078269,tt0099677,tt0040848"
tt0088510,8,nm0049827,actor,\N,"Vlix,The Great Heep",,Long John Baldry,1941,2005,"actor,soundtrack,music_department","tt0222518,tt0067917,tt5540054,tt0088559"
tt0088510,9,nm0125579,actor,\N,\N,,George Buza,1949,\N,actor,"tt0120903,tt0115086,tt0103584,tt0098851"
tt0088510,10,nm0156838,actor,\N,\N,,Milan Cheylov,\N,\N,"director,producer,actor","tt0285331,tt0455275,tt2364582,tt0773262"
tt0088510,1,nm0000355,actor,\N,C-3PO,,Anthony Daniels,1946,\N,"actor,producer,writer","tt2488496,tt0076759,tt0080684,tt2527336"
tt0088510,2,nm0132491,actor,\N,"Admiral Screed,Lord Toda",,Graeme Campbell,1940,1992,actor,"tt0088510,tt0066630,tt0067411,tt0096425"
tt0088510,3,nm0377243,actor,\N,"Jord Dusat,Jyn Obah,Uncle Gundy",,Dan Hennessey,1941,\N,"actor,miscellaneous","tt0088885,tt0086203,tt0092723,tt0085033"
tt0088510,4,nm0290475,actor,\N,"Jann Tosh,Kybo Ren,Boba Fett",,Don Francks,1932,2016,"actor,writer,music_department","tt0368794,tt0113481,tt0082509,tt0082782"
tt0088510,5,nm0122645,actor,\N,Sise Fromm,,Donny Burns,\N,\N,actor,"tt0088510,tt0086203,tt0207919,tt0090847"
tt0088510,6,nm0830799,actor,\N,"Sollag,Greej,Lin-D",,John Stocker,1947,\N,"actor,sound_department,miscellaneous","tt0097235,tt0328733,tt0107438,tt0092723"
tt0088510,7,nm0456194,actor,\N,\N,,Michael Kirby,1925,2002,"actor,writer,soundtrack","tt0081192,tt0078269,tt0099677,tt0040848"
tt0088510,8,nm0049827,actor,\N,"Vlix,The Great Heep",,Long John Baldry,1941,2005,"actor,soundtrack,music_department","tt0222518,tt0067917,tt5540054,tt0088559"
tt0088510,9,nm0125579,actor,\N,\N,,George Buza,1949,\N,actor,"tt0120903,tt0115086,tt0103584,tt0098851"
tt0088510,10,nm0156838,actor,\N,\N,,Milan Cheylov,\N,\N,"director,producer,actor","tt0285331,tt0455275,tt2364582,tt0773262"
tt0088510,1,nm0000355,actor,\N,C-3PO,,Anthony Daniels,1946,\N,"actor,producer,writer","tt2488496,tt0076759,tt0080684,tt2527336"
tt0088510,2,nm0132491,actor,\N,"Admiral Screed,Lord Toda",,Graeme Campbell,1940,1992,actor,"tt0088510,tt0066630,tt0067411,tt0096425"
tt0088510,3,nm0377243,actor,\N,"Jord Dusat,Jyn Obah,Uncle Gundy",,Dan Hennessey,1941,\N,"actor,miscellaneous","tt0088885,tt0086203,tt0092723,tt0085033"
tt0088510,4,nm0290475,actor,\N,"Jann Tosh,Kybo Ren,Boba Fett",,Don Francks,1932,2016,"actor,writer,music_department","tt0368794,tt0113481,tt0082509,tt0082782"
tt0088510,5,nm0122645,actor,\N,Sise Fromm,,Donny Burns,\N,\N,actor,"tt0088510,tt0086203,tt0207919,tt0090847"
tt0088510,6,nm0830799,actor,\N,"Sollag,Greej,Lin-D",,John Stocker,1947,\N,"actor,sound_department,miscellaneous","tt0097235,tt0328733,tt0107438,tt0092723"
tt0088510,7,nm0456194,actor,\N,\N,,Michael Kirby,1925,2002,"actor,writer,soundtrack","tt0081192,tt0078269,tt0099677,tt0040848"
tt0088510,8,nm0049827,actor,\N,"Vlix,The Great Heep",,Long John Baldry,1941,2005,"actor,soundtrack,music_department","tt0222518,tt0067917,tt5540054,tt0088559"
tt0088510,9,nm0125579,actor,\N,\N,,George Buza,1949,\N,actor,"tt0120903,tt0115086,tt0103584,tt0098851"
tt0088510,10,nm0156838,actor,\N,\N,,Milan Cheylov,\N,\N,"director,producer,actor","tt0285331,tt0455275,tt2364582,tt0773262"
tt0088510,1,nm0000355,actor,\N,C-3PO,The White Witch,Anthony Daniels,1946,\N,"actor,producer,writer","tt2488496,tt0076759,tt0080684,tt2527336"
tt0088510,2,nm0132491,actor,\N,"Admiral Screed,Lord Toda",The White Witch,Graeme Campbell,1940,1992,actor,"tt0088510,tt0066630,tt0067411,tt0096425"
tt0088510,3,nm0377243,actor,\N,"Jord Dusat,Jyn Obah,Uncle Gundy",The White Witch,Dan Hennessey,1941,\N,"actor,miscellaneous","tt0088885,tt0086203,tt0092723,tt0085033"
tt0088510,4,nm0290475,actor,\N,"Jann Tosh,Kybo Ren,Boba Fett",The White Witch,Don Francks,1932,2016,"actor,writer,music_department","tt0368794,tt0113481,tt0082509,tt0082782"
tt0088510,5,nm0122645,actor,\N,Sise Fromm,The White Witch,Donny Burns,\N,\N,actor,"tt0088510,tt0086203,tt0207919,tt0090847"
tt0088510,6,nm0830799,actor,\N,"Sollag,Greej,Lin-D",The White Witch,John Stocker,1947,\N,"actor,sound_department,miscellaneous","tt0097235,tt0328733,tt0107438,tt0092723"
tt0088510,7,nm0456194,actor,\N,\N,The White Witch,Michael Kirby,1925,2002,"actor,writer,soundtrack","tt0081192,tt0078269,tt0099677,tt0040848"
tt0088510,8,nm0049827,actor,\N,"Vlix,The Great Heep",The White Witch,Long John Baldry,1941,2005,"actor,soundtrack,music_department","tt0222518,tt0067917,tt5540054,tt0088559"
tt0088510,9,nm0125579,actor,\N,\N,The White Witch,George Buza,1949,\N,actor,"tt0120903,tt0115086,tt0103584,tt0098851"
tt0088510,10,nm0156838,actor,\N,\N,The White Witch,Milan Cheylov,\N,\N,"director,producer,actor","tt0285331,tt0455275,tt2364582,tt0773262"
tt0361243,1,nm1103468,actor,\N,Anakin Skywalker,,Mat Lucas,1977,\N,"actor,editorial_department,editor","tt5713466,tt0462553,tt2900624,tt0483168"
tt0361243,2,nm0852517,actor,\N,"Obi-Wan Kenobi,Techno Union Scientist #2,Agen Kolar",,James Arnold Taylor,1969,\N,"actor,producer,writer","tt0458290,tt1185834,tt2865120,tt0453556"
tt0361243,3,nm0812220,actor,\N,"ARC Captain,Clone Trooper,ARC Trooper",,André Sogliuzzo,1966,\N,"actor,miscellaneous,soundtrack","tt0128853,tt0338348,tt0228750,tt1055369"
tt0361243,4,nm0217221,actress,\N,"Asajj Ventress,Padmé Amidala,Shaak-Ti",,Grey Griffin,1973,\N,"actress,music_department,soundtrack","tt3398268,tt4701182,tt1055369,tt1568322"
tt0361243,5,nm0437454,actor,\N,Yoda,,Tom Kane,1962,\N,"actor,miscellaneous,soundtrack","tt0458290,tt2527336,tt0120694,tt1185834"
tt0361243,6,nm0123553,actor,\N,"Count Dooku,San Hill,Warrior #2",,Corey Burton,1955,\N,"actor,miscellaneous,soundtrack","tt0092106,tt0230011,tt0119282,tt1568322"
tt0361243,7,nm0417068,actor,\N,"Supreme Chancellor Palpatine,Darth Sidious,Main Techno Union Scientist",,Nick Jameson,1950,\N,"actor,soundtrack,miscellaneous",tt2294629
tt0361243,8,nm0358460,actor,\N,"Durge,Ki-Adi-Mundi,Even Piell",,Daran Norris,1964,\N,"actor,soundtrack,miscellaneous","tt0491117,tt0372588,tt0397892,tt0235918"
tt0361243,9,nm0569501,actor,\N,"General Grievous,Harvos the Nelvaanian Warrior,Kit Fisto",,Richard McGonagle,1946,\N,"actor,producer","tt0790772,tt1022603,tt0160797,tt1800763"
tt0361243,10,nm8739978,actor,\N,Storm Trooper,,Can Arda Kiremitçi,\N,\N,actor,tt0361243
tt0361243,1,nm1103468,actor,\N,Anakin Skywalker,,Mat Lucas,1977,\N,"actor,editorial_department,editor","tt5713466,tt0462553,tt2900624,tt0483168"
tt0361243,2,nm0852517,actor,\N,"Obi-Wan Kenobi,Techno Union Scientist #2,Agen Kolar",,James Arnold Taylor,1969,\N,"actor,producer,writer","tt0458290,tt1185834,tt2865120,tt0453556"
tt0361243,3,nm0812220,actor,\N,"ARC Captain,Clone Trooper,ARC Trooper",,André Sogliuzzo,1966,\N,"actor,miscellaneous,soundtrack","tt0128853,tt0338348,tt0228750,tt1055369"
tt0361243,4,nm0217221,actress,\N,"Asajj Ventress,Padmé Amidala,Shaak-Ti",,Grey Griffin,1973,\N,"actress,music_department,soundtrack","tt3398268,tt4701182,tt1055369,tt1568322"
tt0361243,5,nm0437454,actor,\N,Yoda,,Tom Kane,1962,\N,"actor,miscellaneous,soundtrack","tt0458290,tt2527336,tt0120694,tt1185834"
tt0361243,6,nm0123553,actor,\N,"Count Dooku,San Hill,Warrior #2",,Corey Burton,1955,\N,"actor,miscellaneous,soundtrack","tt0092106,tt0230011,tt0119282,tt1568322"
tt0361243,7,nm0417068,actor,\N,"Supreme Chancellor Palpatine,Darth Sidious,Main Techno Union Scientist",,Nick Jameson,1950,\N,"actor,soundtrack,miscellaneous",tt2294629
tt0361243,8,nm0358460,actor,\N,"Durge,Ki-Adi-Mundi,Even Piell",,Daran Norris,1964,\N,"actor,soundtrack,miscellaneous","tt0491117,tt0372588,tt0397892,tt0235918"
tt0361243,9,nm0569501,actor,\N,"General Grievous,Harvos the Nelvaanian Warrior,Kit Fisto",,Richard McGonagle,1946,\N,"actor,producer","tt0790772,tt1022603,tt0160797,tt1800763"
tt0361243,10,nm8739978,actor,\N,Storm Trooper,,Can Arda Kiremitçi,\N,\N,actor,tt0361243
tt0361243,1,nm1103468,actor,\N,Anakin Skywalker,,Mat Lucas,1977,\N,"actor,editorial_department,editor","tt5713466,tt0462553,tt2900624,tt0483168"
tt0361243,2,nm0852517,actor,\N,"Obi-Wan Kenobi,Techno Union Scientist #2,Agen Kolar",,James Arnold Taylor,1969,\N,"actor,producer,writer","tt0458290,tt1185834,tt2865120,tt0453556"
tt0361243,3,nm0812220,actor,\N,"ARC Captain,Clone Trooper,ARC Trooper",,André Sogliuzzo,1966,\N,"actor,miscellaneous,soundtrack","tt0128853,tt0338348,tt0228750,tt1055369"
tt0361243,4,nm0217221,actress,\N,"Asajj Ventress,Padmé Amidala,Shaak-Ti",,Grey Griffin,1973,\N,"actress,music_department,soundtrack","tt3398268,tt4701182,tt1055369,tt1568322"
